title,artist,listType,Gross,Tickets_Sold,rank_each_year,releaseYear,x,y,rank,listHighestRank,
Now You See Me,Lionsgate,Thriller/Suspense,117723989,14480195,23,2013,619.3749362,252.6250638,20,18.58385337,
A Good Day to Die Hard,20th Century Fox,Action,67349198,8284034,51,2013,602.3749362,222.0309468,15,18.02540155,
Parental Guidance,20th Century Fox,Adventure,24927598,3066125,103,2013,579.4441188,214.9473309,9,17.0314861,
Hotel Transylvania,Sony Pictures,Adventure,2140687,263307,196,2013,589.8985928,209.0563232,3,14.57663736,
Much Ado About Nothing,Roadside Attractions,Romantic Comedy,4328850,532453,170,2013,595.429041,203.2758264,5,15.28081248,
Filly Brown,Lionsgate,Drama,2850357,350597,183,2013,603.3905525,204.0596217,3,14.86295481,
Promised Land,Focus Features,Drama,3202459,393906,177,2013,609.2407845,205.3918324,3,14.97942951,
I'm in Love with a Church Girl,High Top Releasing,Drama,2387730,293693,189,2013,614.3281445,208.5728336,3,14.68585368,
Runner Runner,20th Century Fox,Thriller/Suspense,19316646,2375971,116,2013,622.8070778,213.8745022,7,16.77647777,
All is Lost,Roadside Attractions,Thriller/Suspense,6047207,743813,157,2013,622.0073443,225.8478236,5,15.61510707,
Mud,Roadside Attractions,Drama,21590086,2655607,108,2013,635.7199254,228.6700784,9,16.88774479,
Mama,Universal,Horror,71628180,8810354,46,2013,655.6549213,245.3612717,17,18.08699913,
Iron Man 3,Walt Disney,Action,408992272,50306552,1,2013,648.6769476,286.7775473,25,19.82920682,
One Direction: This is Us,Sony Pictures,Concert/Perfor...,28873374,3551460,95,2013,615.1192649,281.3111103,9,17.17843041,
Getaway,Warner Bros.,Thriller/Suspense,10501938,1291751,139,2013,604.2282433,272.514199,5,16.16707037,
Trance,Fox Searchlight,Thriller/Suspense,2322593,285681,191,2013,600.3338381,265.5260942,3,14.65819479,
47 Ronin,Universal,Action,32687680,4020624,88,2013,594.0997673,287.8057791,13,17.30250881,
The Counselor,20th Century Fox,Thriller/Suspense,16960224,2086128,124,2013,574.1567744,289.314763,7,16.6463814,
The Lone Ranger,Walt Disney,Western,89302115,10984269,39,2013,551.0835211,295.919684,17,18.30753573,
Skyfall,Sony Pictures,Action,7555911,929386,148,2013,542.8875264,275.5033751,5,15.83784073,
Rise of the Guardians,Paramount Pictures,Adventure,6185091,760773,156,2013,537.4990293,267.0793559,5,15.63765228,
The Iceman,Alchemy,Drama,1930282,237427,199,2013,537.0151948,259.0940003,3,14.47317666,
Percy Jackson: Sea of Monsters,20th Century Fox,Adventure,68518210,8427824,50,2013,523.0317736,244.7949118,17,18.04261011,
12 Years a Slave,Fox Searchlight,Drama,38472086,4732113,81,2013,540.7200323,220.5642391,13,17.4654435,
Amour,Sony Pictures Cla...,Drama,6427707,790615,155,2013,558.6756175,219.3005296,5,15.67612842,
Snitch,Lionsgate,Thriller/Suspense,42930462,5280499,77,2013,561.9543221,201.6016569,13,17.5750922,
Black Nativity,20th Century Fox,Musical,7012316,862523,151,2013,579.9427463,200.9562133,5,15.76317859,
Ender's Game,Lionsgate,Adventure,61656849,7583868,57,2013,590.4120873,183.915295,15,17.93709488,
The Heat,20th Century Fox,Comedy,159581587,19628731,15,2013,625.2769732,186.9877096,20,18.88806587,
Grown Ups 2,Sony Pictures,Comedy,133668525,16441392,20,2013,658.9919862,208.5120655,20,18.7108736,
Oldboy,FilmDistrict,Action,2193658,269822,194,2013,668.0401148,229.6575466,3,14.60108103,
Rush,Universal,Drama,26947624,3314590,97,2013,679.1426252,234.2110356,9,17.10940569,
Jack Reacher,Paramount Pictures,Thriller/Suspense,15373522,1890962,129,2013,679.1598119,250.2110263,7,16.54815724,
Battle of the Year 3D,Sony Pictures,Drama,8888355,1093278,142,2013,672.1325757,259.9382023,5,16.00025255,
The Sapphires,Weinstein Co.,Musical,2450867,301459,185,2013,664.8038659,263.1460071,3,14.7119524,
Metallica Through the Never,Picturehouse,Concert/Perfor...,3419967,420660,173,2013,668.9593388,267.4740604,3,15.04514146,
Despicable Me 2,Universal,Adventure,367956735,45259130,3,2013,697.5829824,276.3756358,25,19.72347592,
Enough Said,Fox Searchlight,Comedy,17497669,2152234,122,2013,677.2855253,301.1145372,7,16.67757823,
Star Trek Into Darkness,Paramount Pictures,Adventure,228778661,28140056,11,2013,669.1390691,326.8562397,20,19.24826555,
The Twilight Saga: Breaking...,Lionsgate,Drama,3191381,392543,178,2013,649.5748908,314.7631453,3,14.9759643,
Olympus Has Fallen,FilmDistrict,Thriller/Suspense,98927592,12168215,33,2013,632.1678618,325.3968441,17,18.40989875,
Gangster Squad,Warner Bros.,Action,46000903,5658167,71,2013,605.8479951,311.0001565,13,17.64417158,
Philomena,Weinstein Co.,Drama,19586311,2409140,114,2013,586.4152652,306.2705679,7,16.79034146,
The Impossible,Lionsgate,Drama,15607469,1919737,128,2013,572.4290195,306.8909965,7,16.56326014,
The Bling Ring,A24,Drama,5845732,719032,160,2013,563.0520846,314.3791934,5,15.58122238,
The Guilt Trip,Paramount Pictures,Comedy,6022333,740754,158,2013,553.6445513,317.7701102,5,15.61098528,
Texas Chainsaw 3D,Lionsgate,Horror,12597475,1549504,134,2013,543.7078795,316.6464761,5,16.34900696,
You're Next,Lionsgate,Horror,18494006,2274785,118,2013,532.8535299,311.5295341,7,16.73295724,
Turbo,20th Century Fox,Adventure,83028130,10212562,43,2013,517.1804753,293.3538537,17,18.23469002,
Argo,Warner Bros.,Thriller/Suspense,25918584,3188017,100,2013,511.3407228,268.0181617,9,17.0704708,
No,Sony Pictures Cla...,Drama,2341226,287973,190,2013,507.0455074,256.8132019,3,14.66618528,
Safe Haven,Relativity,Drama,71399120,8782179,47,2013,489.1688729,247.8451509,17,18.0837961,
Pulling Strings,Lionsgate,Romantic Comedy,5842961,718691,161,2013,504.8475506,232.4120998,5,15.58074825,
Zero Dark Thirty,Sony Pictures,Thriller/Suspense,91314578,11231805,37,2013,512.0797542,211.634823,17,18.329821,
Prisoners,Warner Bros.,Thriller/Suspense,61002302,7503358,58,2013,536.2024867,190.6087969,15,17.92642216,
Closed Circuit,Focus Features,Thriller/Suspense,5750995,707379,162,2013,555.3567646,184.8543516,5,15.56488344,
Cloudy with a Chance of Mea...,Sony Pictures,Adventure,117614237,14466695,24,2013,563.707875,161.2904183,20,18.58292065,
Parker,FilmDistrict,Thriller/Suspense,17616641,2166868,121,2013,590.7005992,161.9171869,7,16.68435452,
Dhoom 3,Yash Raj Films,Action,7846872,965174,146,2013,601.4552413,167.2405011,5,15.87562554,
Top Gun,Paramount Pictures,Action,5418430,666473,165,2013,611.4001892,166.1926413,5,15.50531666,
The Spectacular Now,A24,Drama,6852971,842923,153,2013,620.660301,162.4176803,5,15.74019284,
The Mortal Instruments: Cit...,Sony Pictures,Adventure,31165421,3833385,93,2013,634.3400335,159.4402788,9,17.25481974,
RED 2,Lionsgate,Action,53262560,6551360,66,2013,655.8854546,170.0135861,15,17.7907442,
Riddick,Universal,Action,42025135,5169143,78,2013,680.4539537,183.4444779,13,17.55377845,
In a World...,Roadside Attractions,Comedy,2963271,364485,180,2013,680.1277028,199.4411513,3,14.90180428,
Frances Ha,IFC Films,Comedy,4066826,500224,171,2013,681.7546387,205.2163638,3,15.2183734,
The To Do List,CBS Films,Comedy,3491669,429479,172,2013,681.8325095,211.2158584,3,15.0658904,
Thor: The Dark World,Walt Disney,Action,203449204,25024502,12,2013,703.6035811,218.633435,20,19.13092692,
The Big Wedding,Lionsgate,Romantic Comedy,21819348,2683806,107,2013,712.996514,246.0701406,9,16.89830766,
2013 Oscar Shorts,Shorts International,Multiple Genres,2142342,263510,195,2013,717.8424958,257.0481395,3,14.57741018,
Warm Bodies,Lionsgate,Romantic Comedy,66380662,8164903,52,2013,735.0436975,262.3508427,15,18.01091634,
Pacific Rim,Warner Bros.,Action,101802906,12521882,30,2013,737.4386653,297.2688055,20,18.43854921,
The Internship,20th Century Fox,Comedy,44672764,5494804,75,2013,708.3342486,312.8229989,13,17.61487457,
To the Arctic 3D,Warner Bros.,Documentary,2930286,360428,181,2013,694.8311541,304.2400835,3,14.89061059,
The Smurfs 2,Sony Pictures,Adventure,71017784,8735274,48,2013,702.7614418,342.300852,17,18.07844088,
Delivery Man,Walt Disney,Comedy,29866438,3673608,94,2013,679.5111231,353.937977,9,17.21224593,
Frozen,Walt Disney,Musical,296691729,36493447,4,2013,647.9359835,366.5479159,25,19.50820421,
Identity Thief,Universal,Comedy,134506920,16544516,19,2013,605.6384882,351.188167,20,18.71712621,
Mandela: Long Walk to Freedom,Weinstein Co.,Drama,7061587,868583,150,2013,598.2331849,327.3101125,5,15.77018037,
The Wizard of Oz,Warner Bros.,Musical,5509334,677654,164,2013,590.703819,320.7291817,5,15.5219543,
That Awkward Moment,FilmDistrict,Romantic Comedy,26068955,3190814,98,2014,576.790543,322.2850575,9,17.0762557,
Get on Up,Universal,Drama,30569935,3741730,90,2014,558.8398566,335.0040535,13,17.23552757,
The Best of Me,Relativity,Drama,26739759,3272920,97,2014,537.6064816,329.2469897,9,17.10166212,
The Book of Life,20th Century Fox,Adventure,49322356,6037008,68,2014,513.9517711,325.1905538,15,17.713888,
Jack Ryan: Shadow Recruit,Paramount Pictures,Action,50577412,6190625,66,2014,489.0059414,308.5260532,15,17.73901563,
Legends of Oz: Dorothy's Re...,Clarius Entertain...,Adventure,8462347,1035782,149,2014,495.501338,289.6101916,5,15.95113712,
Sin City: A Dame to Kill For,Weinstein Co.,Action,13757804,1683941,134,2014,499.3980523,280.4006521,5,16.43711678,
The Wind Rises,Walt Disney,Drama,5201879,636704,163,2014,497.5749293,270.5682453,5,15.46453046,
Dallas Buyers Club,Focus Features,Drama,10997442,1346076,138,2014,487.6052962,269.7895176,5,16.21317326,
Under the Skin,A24,Thriller/Suspense,2614251,319981,191,2014,480.6042019,265.9185128,3,14.77648819,
The Identical,Freestyle Releasing,Drama,2827666,346103,185,2014,475.6289481,262.5648804,3,14.85496219,
Kick,UTV Communications,Action,2472695,302655,193,2014,471.8722876,257.8864724,3,14.72081921,
The Legend of Hercules,Lionsgate,Adventure,18848538,2307042,115,2014,465.2999072,250.3496418,7,16.75194591,
When the Game Stands Tall,Sony Pictures,Drama,30127963,3687633,92,2014,466.8973101,234.429582,9,17.2209643,
This is Where I Leave You,Warner Bros.,Comedy,34296320,4197835,85,2014,482.2348789,218.657487,13,17.35054862,
If I Stay,Warner Bros.,Drama,50474843,6178071,67,2014,487.4913484,191.1553138,15,17.73698561,
Tyler Perry's A Madea Chris...,Lionsgate,Comedy,2316077,283485,197,2014,505.4181613,192.7768491,3,14.65538536,
12 Years a Slave,Fox Searchlight,Drama,18199907,2227650,118,2014,514.0425394,187.7152186,7,16.71692704,
The Maze Runner,20th Century Fox,Action,102104191,12497452,28,2014,517.6146544,160.9525582,20,18.44150433,
Tammy,Warner Bros.,Comedy,84525432,10345830,37,2014,540.8734254,132.1770552,17,18.25256302,
Transformers: Age of Extinc...,Paramount Pictures,Action,245439076,30041502,5,2014,580.9901826,119.7413889,25,19.31855931,
Moms' Night Out,Sony Pictures,Adventure,10429707,1276585,144,2014,585.6839834,149.3719176,5,16.16016873,
Belle,Fox Searchlight,Drama,10726630,1312929,139,2014,595.5594953,150.9448977,5,16.18823999,
Devil's Due,20th Century Fox,Horror,15821461,1936531,127,2014,606.816167,155.1027026,7,16.57687787,
The Grand Budapest Hotel,Fox Searchlight,Comedy,58850714,7203269,54,2014,621.7888406,138.9837992,15,17.89051452,
Winter's Tale,Warner Bros.,Drama,12600231,1542255,137,2014,640.2248222,146.7371587,5,16.34922571,
Sabotage,Open Road,Action,10508518,1286232,143,2014,649.1897771,151.1676873,5,16.16769672,
Captain America: The Winter...,Walt Disney,Action,259746958,31792773,3,2014,674.0500926,134.3758824,25,19.37521848,
The Quiet Ones,Lionsgate,Horror,8509867,1041599,148,2014,675.0693208,164.3585637,5,15.95673687,
Nebraska,Paramount Pictures,Drama,10651616,1303747,141,2014,684.9319513,166.0103866,5,16.18122218,
Addicted,Lionsgate,Drama,17390770,2128613,122,2014,695.9398737,170.7880059,7,16.67145016,
No Good Deed,Sony Pictures,Thriller/Suspense,52543632,6431289,62,2014,712.8391798,184.8739369,15,17.77715447,
Step Up All In,Lionsgate,Drama,14904384,1824282,129,2014,725.5140169,202.8558306,7,16.51716596,
The Pyramid,20th Century Fox,Horror,2695735,329955,189,2014,725.8644943,212.849687,3,14.80718145,
The Theory of Everything,Focus Features,Drama,24772350,3032111,102,2014,732.2737638,222.9946989,9,17.02523867,
Maleficent,Walt Disney,Adventure,241407328,29548020,6,2014,429.598227,240.5933013,22,19.30199622,
Draft Day,Lionsgate,Drama,28842237,3530261,94,2014,758.6763854,266.5336718,9,17.17735143,
Alexander and the Terrible,Walt Disney,Adventure,66032663,8082333,46,2014,773.2719104,288.0504246,17,18.00566007,
Cesar Chavez,Lionsgate,Drama,5571497,681945,159,2014,760.7991812,306.1730907,5,15.53317434,
Obvious Child,A24,Romantic Comedy,3122616,382205,181,2014,755.1975433,311.8846275,3,14.95418167,
Let's Be Cops,20th Century Fox,Comedy,82390774,10084550,40,2014,604,417.2249222,17,18.22698402,
Dear White People,Lionsgate/Roadsid...,Comedy,4376622,535694,168,2014,731.7776031,321.619419,5,15.29178775,
Whiplash,Sony Pictures Cla...,Drama,5901617,722352,156,2014,722.1580175,328.3513731,5,15.59073694,
Chef,Open Road,Comedy,31424004,3846267,87,2014,730.7030878,353.221677,13,17.26308262,
The Skeleton Twins,Lionsgate/Roadsid...,Drama,5284309,646794,161,2014,714.4433331,360.9431002,5,15.48025242,
Interstellar,Paramount Pictures,Adventure,182802094,22374797,15,2014,696.9969245,378.849044,20,19.02391467,
Big Eyes,Weinstein Co.,Drama,9924025,1214690,145,2014,672.4891788,383.7856827,5,16.11046914,
Need for Speed,Walt Disney,Action,43568507,5332742,75,2014,665.3643237,400.3155478,13,17.58984513,
Dumb and Dumber To,Universal,Comedy,84863720,10387236,36,2014,636.0825114,406.8405356,17,18.25655723,
Anchorman 2: The Legend Con...,Paramount Pictures,Comedy,18639235,2281424,116,2014,623.0619578,386.6795539,7,16.74077933,
47 Ronin,Universal,Action,5674795,694589,158,2014,619.2421593,375.30374,5,15.551545,
Sex Tape,Sony Pictures,Comedy,38543473,4717683,82,2014,603.2289968,384.100085,13,17.46729733,
300: Rise of an Empire,Warner Bros.,Action,106580051,13045293,26,2014,572.1366151,373.0427889,20,18.48440691,
Godzilla,Warner Bros.,Action,200676069,24562554,12,2014,535.0198978,358.1314074,20,19.11720257,
The Judge,Warner Bros.,Drama,47063106,5760478,71,2014,502.8253477,350.8849637,13,17.66699994,
Pompeii,Sony Pictures,Action,23169033,2835866,108,2014,490.8060467,332.4584501,9,16.95832716,
Unbroken,Universal,Drama,62266245,7621327,49,2014,464.9593564,329.6391239,17,17.94693002,
God's Not Dead,Pure Flix Enterta...,Drama,60755732,7436442,51,2014,460.9543814,297.8907354,15,17.92237199,
Vampire Academy,Weinstein Co.,Comedy,7791979,953730,151,2014,479.6698958,290.8388191,5,15.86860543,
What If,CBS Films,Romantic Comedy,3493000,427539,176,2014,487.5096491,289.2456249,3,15.06627152,
Horrible Bosses 2,Warner Bros.,Black Comedy,53063469,6494916,61,2014,453.4043972,268.856312,15,17.78699928,
The Good Lie,Warner Bros.,Drama,2716989,332556,188,2014,455.3184517,250.9583682,3,14.81503484,
Veronica Mars,Warner Bros.,Drama,3322127,406625,178,2014,456.766701,245.1357764,3,15.0161158,
Calvary,Fox Searchlight,Black Comedy,3600006,440637,173,2014,455.8865603,239.2006815,3,15.09644607,
Before I Go to Sleep,Clarius Entertain...,Thriller/Suspense,3242457,396873,179,2014,454.9531055,233.2737377,3,14.99184193,
Bang Bang,FIP,Action,2581138,315928,192,2014,457.0057017,227.6357551,3,14.76374094,
Mr. Peabody & Sherman,20th Century Fox,Adventure,111506430,13648277,25,2014,452.1212929,205.1603785,20,18.52959282,
Planes: Fire and Rescue,Walt Disney,Adventure,59157732,7240848,53,2014,464.1604426,172.2961294,15,17.89571786,
Into the Woods,Walt Disney,Musical,90871655,11122601,34,2014,483.445007,146.7597714,17,18.32495868,
Into the Storm,Warner Bros.,Thriller/Suspense,47602194,5826461,70,2014,508.6991746,127.1071121,15,17.67838941,
Dolphin Tale 2,Warner Bros.,Drama,42024533,5143761,79,2014,526.7552939,105.7067253,13,17.55376412,
Transcendence,Warner Bros.,Thriller/Suspense,23022309,2817908,109,2014,548.6915427,107.3803409,9,16.95197426,
About Last Night,Sony Pictures,Romantic Comedy,48637684,5953204,69,2014,559.5461243,85.97524661,15,17.69990918,
Neighbors,Universal,Comedy,150086800,18370477,19,2014,593.2209099,76.43539265,20,18.82672435,
Million Dollar Arm,Walt Disney,Drama,36447959,4461194,84,2014,614.4393732,101.7094271,13,17.41139602,
The Purge: Anarchy,Universal,Thriller/Suspense,71562550,8759186,44,2014,644.2855408,104.7436119,17,18.08608245,
Son of God,20th Century Fox,Drama,59700064,7307229,52,2014,674.5605754,94.37913996,15,17.90484365,
Tyler Perry's The Single Mo...,Lionsgate,Comedy,15995891,1957881,126,2014,691.9524365,107.8521933,7,16.58784243,
Ida,Music Box Films,Drama,3704612,453440,172,2014,696.0026396,116.9952702,3,15.12508909,
2014 Oscar Shorts,ShortsHD,Multiple Genres,2357890,288603,196,2014,699.2016049,122.0713535,3,14.67327771,
Hot Tub Time Machine 2,Paramount Pictures,Comedy,12314651,1460812,126,2015,890.7563179,246.9193578,7,16.32630025,
McFarland  USA,Walt Disney,Drama,44480275,5276426,62,2015,893.0806422,225.042486,15,17.61055639,
Southpaw,Weinstein Co.,Drama,52421953,6218499,54,2015,912.7424232,247.7011349,15,17.77483601,
Straight Outta Compton,Universal,Drama,161197785,19121920,19,2015,893.6629288,277.0434745,20,18.89814265,
The Visit,Universal,Horror,65206105,7735007,44,2015,860.4915275,293.4342688,17,17.99306366,
Danny Collins,Bleecker Street,Comedy,5637066,668691,161,2015,842.9180615,280.1989641,5,15.54487428,
Everest,Universal,Adventure,43482270,5158039,65,2015,822.9243554,279.697248,15,17.58786383,
Focus,Warner Bros.,Comedy,53862963,6389438,52,2015,809.1737085,253.0341704,15,17.80195366,
Space Station,IMAX Films,Documentary,3201391,379761,183,2015,821.5064935,239.9230143,3,14.97909596,
Trumbo,Bleecker Street,Drama,7015228,832174,149,2015,822.1206235,231.9466213,5,15.76359377,
Mr. Turner,Sony Pictures Cla...,Drama,2995728,355365,190,2015,827.8997648,226.4147568,3,14.91269783,
Concussion,Sony Pictures,Drama,17420369,2066473,114,2015,831.7408293,217.1818686,7,16.67315071,
The Second Best Exotic Mari...,Fox Searchlight,Comedy,33078266,3923875,78,2015,847.1483897,204.4301205,13,17.31438701,
A Walk in the Woods,Broad Green Pictures,Adventure,29499394,3499334,85,2015,873.1304477,205.3958645,13,17.19988028,
Annie,Sony Pictures,Musical,28959342,3435272,87,2015,897.8892428,197.4584805,13,17.1814034,
Seventh Son,Universal,Adventure,17725785,2102703,113,2015,911.1230871,212.453992,7,16.69053092,
Vacation,Warner Bros.,Comedy,58884188,6985075,48,2015,932.7957637,222.7639431,17,17.89108316,
Strange Magic,Walt Disney,Adventure,12429583,1474446,125,2015,934.7190253,246.6867579,7,16.33558992,
Hitman: Agent 47,20th Century Fox,Action,22467450,2665178,100,2015,931.7131488,262.4018686,9,16.92757815,
Blackhat,Universal,Thriller/Suspense,8005980,949701,143,2015,918.4455543,266.870754,5,15.89569932,
Big Eyes,Weinstein Co.,Drama,4558006,540688,170,2015,918.6623158,276.8684045,5,15.33239581,
Woman in Gold,Weinstein Co.,Drama,33307793,3951102,77,2015,921.5867631,294.6292493,13,17.32130195,
Dragon Ball Z: Resurrection...,FUNimation,Action,8008363,949983,142,2015,904.3055342,299.6650339,5,15.89599693,
The Gambler,Paramount Pictures,Drama,6074726,720608,156,2015,894.5883214,302.0263416,5,15.61964744,
Magic Mike XXL,Warner Bros.,Comedy,66013057,7830730,43,2015,881.8005816,319.9281212,17,18.00536311,
Creed,Warner Bros.,Drama,99385165,11789462,28,2015,845.5379123,327.2778708,20,18.41451342,
Prem Ratan Dhan Payo,Fox International,Drama,4364639,517751,171,2015,843.7322971,304.3488553,3,15.28904604,
No Escape,Weinstein Co.,Thriller/Suspense,27288872,3237114,91,2015,747.5413264,232.4564605,9,17.12198956,
Sinister 2,Focus Features,Horror,27740955,3290741,89,2015,808.5789915,303.7432567,13,17.1384204,
The Hunger Games: Mockingja...,Lionsgate,Thriller/Suspense,274185395,32524957,8,2015,715.3263237,416.5089263,22,19.42931506,
Tomorrowland,Walt Disney,Adventure,93436322,11083786,30,2015,777.6153999,237.8990074,20,18.35279071,
The Night Before,Sony Pictures,Comedy,42884826,5087168,66,2015,806.989352,218.8682183,15,17.57402862,
The 33,Warner Bros.,Drama,12049242,1429328,130,2015,824.3167981,205.3124221,7,16.30451231,
Still Alice,Sony Pictures Cla...,Drama,18656400,2213096,107,2015,830.1812879,190.4259262,9,16.74169981,
Sicario,Lionsgate,Thriller/Suspense,46823967,5554444,60,2015,849.7652854,176.552677,15,17.66190575,
Foxcatcher,Sony Pictures Cla...,Drama,4153511,492705,173,2015,857.9202653,192.5993683,3,15.23946456,
Jupiter Ascending,Warner Bros.,Action,47482519,5632564,58,2015,879.7621388,176.1181876,15,17.67587218,
The Hunger Games: Mockingja...,Lionsgate,Thriller/Suspense,13401383,1589725,122,2015,901.6959006,177.8240883,7,16.41086847,
Project Almanac,Paramount Pictures,Adventure,22348241,2651036,101,2015,916.0071029,184.9787712,9,16.92225817,
